Model,Accuracy,Precision,Recall,F1-Score,Train Time (s),Inference Time (s),Parameters
HOG + SVM,0.9773809523809524,0.977530185971605,0.9773809523809524,0.9774064372658118,776.5304832458496,69.28498029708862,~N/A (kernel)
HOG + Random Forest,0.9720238095238095,0.972073537818613,0.9720238095238095,0.972002961640066,27.616398572921753,0.17402386665344238,~100 trees
HOG + KNN,0.9501190476190476,0.9501190476190476,0.9501190476190476,0.9500749528483213,0.023982524871826172,19.616360664367676,N/A (lazy)
CNN (Deep Learning),0.9954761904761905,0.9954822015570458,0.9954761904761905,0.9954761456415053,2087.6137189865112,6.930458068847656,"468,458"
