Model,Accuracy,Precision,Recall,F1-Score,Train Time (s),Inference Time (s)
TF-IDF + Logistic Regression,0.8003939592908733,0.7684049079754601,0.7660550458715596,0.7672281776416539,0.037049055099487305,0.0003612041473388672
TF-IDF + Linear SVM,0.7852921864740644,0.7458646616541353,0.7584097859327217,0.7520849128127369,0.023436784744262695,0.0003898143768310547
Bi-LSTM (Deep Learning),0.7774130006565988,0.7354260089686099,0.7522935779816514,0.7437641723356009,63.450899600982666,1.2957618236541748
