Model,accuracy,precision,recall,f1,roc_auc
Logistic Regression,0.797991337643588,0.715288186660024,0.7892156862745099,0.7493588629085586,0.8586298346803639
Random Forest,0.8282781997363632,0.7647635631366975,0.797996589940324,0.7804478315099865,0.8726751335120841
XGBoost,0.8338522377754065,0.8023530765376863,0.7542199488491048,0.7768999571308421,0.8737817408937684
SVM,0.8158998179649741,0.7517334917334917,0.777621483375959,0.7640256236322427,0.8533184001018184
MLP (DL),0.8268156424581006,0.8166666666666667,0.7101449275362319,0.7596899224806202,0.8669301712779974
